Date,close,open,high,low,volume,pct_chg,swing,oi,chn_nonferrous,sha_ind,sp500_ind,djind_ind,nasd_ind,spcha_ind,djglo+ind,hs_ind,eu100_ind,spal_ind,shfeal_ind
2018-03-23,2054.0,2068.0,2074.5,2049.0,13161.0,-0.9165,1.2301,7052.0,3019.09,3301.95,2588.26,23533.2,6992.67,5465.21,387.07,30309.29,996.32,57.76,13795.52
2018-03-26,2048.5,2055.5,2063.5,2043.5,14153.0,-0.2678,0.9737,4032.0,2973.95,3281.92,2658.55,24202.6,7220.54,5451.76,392.64,30548.77,990.98,57.77,13743.85
2018-03-27,2045.0,2049.5,2071.5,2041.5,11733.0,-0.3411,1.4645,3240.0,3007.23,3316.41,2612.62,23857.71,7008.81,5497.25,390.84,30790.83,1002.01,57.54,13857.1
2018-03-28,2032.5,2046.0,2046.5,2019.0,17071.0,-0.6112,1.3447,4302.0,2984.66,3269.88,2605.0,23848.42,6949.23,5362.29,388.6,30022.53,1006.86,57.06,13781.55
2018-03-29,2005.0,2032.5,2045.0,1996.0,18801.0,-1.0853,2.4108,5446.0,3019.96,3309.98,2640.87,24103.11,7063.45,5472.64,391.74,30093.38,1011.72,56.45,13864.82
2018-04-03,1998.0,2015.0,2039.0,1980.0,24877.0,-0.3243,2.9426,8141.0,3052.24,3284.85,2614.45,24033.36,6941.28,5463.75,389.17,30180.1,1008.44,55.72,14125.93
2018-04-04,1993.0,1995.0,2000.5,1980.0,21128.0,0.7583,1.026,6010.0,3042.83,3279.07,2644.69,24264.3,7042.11,5491.12,390.47,29518.69,1005.53,56.02,14051.45
2018-04-09,2132.5,2061.0,2144.0,2059.5,35814.0,4.4319,4.1139,12050.0,3048.94,3286.62,2613.16,23979.1,6950.34,5454.46,390.85,30229.58,1028.45,60.73,14250.92
2018-04-10,2211.0,2132.0,2242.0,2125.0,38506.0,3.3661,5.4865,9462.0,3070.59,3341.24,2656.87,24408.0,7094.3,5528.43,395.93,30728.74,1036.99,62.46,14327.43
2018-04-11,2248.5,2207.0,2277.5,2200.0,37189.0,2.1581,3.5052,8892.0,3072.51,3359.87,2642.19,24189.45,7069.03,5549.22,394.82,30897.71,1031.99,63.87,14364.46
2018-04-12,2283.5,2245.0,2331.0,2202.5,31973.0,1.4889,5.7149,8022.0,3046.18,3330.56,2663.99,24483.05,7140.25,5540.39,396.13,30831.28,1037.08,66.37,14320.2
2018-04-13,2275.5,2289.5,2340.0,2271.0,30861.0,-2.129,3.0217,6697.0,3054.35,3308.38,2656.3,24360.14,7106.65,5490.34,395.64,30808.38,1037.88,64.96,14576.29
2018-04-16,2382.0,2279.0,2403.0,2275.0,26363.0,4.2451,5.6251,5516.0,3060.36,3257.64,2677.84,24573.04,7156.29,5438.11,397.16,30315.59,1036.83,68.29,14623.36
2018-04-17,2411.0,2382.0,2435.0,2346.0,28418.0,0.5002,3.7364,6649.0,3076.12,3211.66,2706.39,24786.63,7281.1,5336.17,399.77,30062.75,1044.91,68.4,14939.57
2018-04-18,2550.0,2408.5,2559.0,2389.5,33764.0,6.0291,7.0303,94957.0,3096.22,3237.5,2708.64,24748.07,7295.24,5337.26,401.54,30284.25,1049.04,72.18,14949.96
2018-04-19,2477.0,2546.0,2546.0,2477.0,42936.0,-2.365,2.7059,10765.0,3154.55,3264.74,2693.13,24664.89,7238.06,5443.06,400.61,30708.44,1048.44,70.81,15399.63
2018-04-20,2489.0,2476.5,2531.0,2415.0,20282.0,0.161,4.6831,3204.0,3108.69,3216.7,2670.14,24462.94,7146.13,5348.08,397.36,30418.33,1050.02,70.4,14980.85
2018-04-23,2254.5,2480.0,2534.5,2237.0,32555.0,-8.6877,11.9526,6373.0,3131.15,3213.05,2670.29,24448.69,7128.6,5339.25,396.43,30254.4,1053.47,65.22,15073.18
2018-04-24,2211.5,2257.5,2291.0,2175.0,25719.0,-3.6383,5.1453,6205.0,3095.6,3276.9,2634.56,24024.13,7007.35,5474.33,393.81,30636.24,1055.12,63.19,14421.31
2018-04-25,2234.5,2213.5,2273.0,2186.0,18953.0,0.3368,3.934,4168.0,3089.95,3265.41,2639.4,24083.83,7003.74,5482.64,392.36,30328.15,1048.8,63.71,14441.7
2018-04-26,2270.0,2235.5,2316.0,2195.0,19914.0,1.1136,5.4151,5140.0,3084.08,3220.39,2666.94,24322.34,7118.68,5353.57,394.93,30007.68,1055.97,64.67,14408.01
2018-04-27,2225.5,2270.0,2295.0,2205.0,17579.0,-2.1758,3.9648,4939.0,3097.31,3227.92,2669.91,24311.19,7119.8,5303.92,396.0,30280.67,1059.94,63.17,14525.67
2018-05-02,2320.0,2245.0,2330.0,2240.0,16884.0,2.6549,4.0107,7780.0,3087.71,3226.89,2635.67,23924.98,7100.9,5355.68,392.79,30723.88,1063.32,66.28,14460.02
2018-05-03,2284.0,2317.0,2354.0,2258.0,13515.0,-1.6153,4.1379,3691.0,3080.89,3247.53,2629.73,23930.15,7088.15,5398.36,391.48,30313.37,1058.06,64.74,14600.01
2018-05-04,2343.0,2287.5,2367.5,2282.0,14474.0,3.2613,3.7434,4181.0,3081.47,3237.23,2663.42,24262.51,7209.62,5379.29,394.25,29926.5,1063.02,67.52,14613.49
2018-05-08,2354.5,2343.0,2374.5,2317.0,14296.0,0.1915,2.4541,4502.0,3095.43,3311.1,2671.92,24360.21,7266.9,5545.15,395.47,30402.81,1066.74,67.79,14724.6
2018-05-09,2355.0,2354.0,2370.0,2280.0,17112.0,-0.106,3.8225,6669.0,3068.79,3308.64,2697.79,24542.54,7339.91,5555.71,397.8,30536.14,1069.9,67.61,14610.02
2018-05-10,2310.5,2352.0,2352.0,2306.0,10043.0,-2.3457,1.9533,3717.0,3075.88,3324.64,2723.07,24739.53,7404.98,5607.93,400.44,30809.22,1070.39,66.5,14605.61
2018-05-11,2275.5,2326.0,2326.0,2263.5,11581.0,-2.5482,2.705,5288.0,3088.81,3312.95,2727.72,24831.17,7402.88,5554.83,402.22,31122.06,1070.68,65.12,14645.79
2018-05-14,2315.0,2280.0,2325.0,2264.0,12483.0,1.1801,2.6807,2748.0,3106.23,3324.27,2730.13,24899.41,7411.32,5601.98,403.01,31541.08,1071.23,66.18,14612.3
2018-05-15,2325.0,2316.0,2331.5,2274.0,11800.0,0.2587,2.4838,66884.0,3104.72,3343.27,2711.45,24706.41,7351.63,5639.13,399.69,31152.03,1071.49,66.57,14693.75
